feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,label
0.5949893921470041,0.8260873151284143,0.4563199699818211,0.1944263555922624,0.4170429773242982,0.5630469836829757,0.03635013774383533,0.9570676368234124,0.6777550892023194,0.47179153608435653,0.3308364110026558,0.7228547239505796,0.3101871118576067,0.029518072673251572,0.022771457681290408,0.511530489826135,0.6615568448412882,0.7300447815070399,0.7538325988364795,0.11866519902435146,poor
0.45122214951336315,0.29249001794793106,0.8220866493618885,0.867042079549802,0.06413035055425331,0.881036644911316,0.8621379633761577,0.03814683313553491,0.6755327438651214,0.35561429167554637,0.9732769781326133,0.9837837974293451,0.2920568533580634,0.0772355463793235,0.2040834372097875,0.7766587905501925,0.1880184222468102,0.9184849228978123,0.09718279353121473,0.5701997033048333,good
0.07747811678051231,0.7520565521236713,0.19356043002478607,0.673603191811564,0.25551893746021004,0.4159274805932558,0.42325815429808467,0.5194541709217354,0.06889116437463116,0.4544447266994628,0.7628993163717186,0.1556162585649138,0.649248509596956,0.3952681427430519,0.955612047459803,0.21247082186892374,0.5871160885813769,0.17890486464436794,0.7372601901866105,0.3118985765522513,good
0.048374354306727874,0.12656941450090675,0.0056204926536903566,0.7416920900437459,0.9170619951254664,0.532224712886031,0.1735552646899129,0.5674292308505084,0.1129406288978797,0.2186581436620707,0.7582035405799108,0.26257053757903037,0.9992882411302426,0.4217861504184155,0.6739069092249714,0.1225046352954714,0.3516062386958777,0.9817121382446911,0.04957252108401422,0.7898695715251313,average
0.8221383804144092,0.9494714980852533,0.9340181557493628,0.2748291262625647,0.8557610027196703,0.3508487899768209,0.6466354907381336,0.8211796096714793,0.09000438794752486,0.7358812110127243,0.11243171672565522,0.7224747315229959,0.33447436957559673,0.8845522687616533,0.21381809039065813,0.7036497372142994,0.9224446616964063,0.6138275738561428,0.14689033239894422,0.14430600519218773,good
0.806825564151906,0.9200886766641672,0.1570627680271275,0.8687253024452456,0.5353822130698759,0.7095904304820859,0.6728829756636866,0.9363730310912229,0.1885448394150614,0.33686201704949603,0.809507911024725,0.8280269141352022,0.6107417019425956,0.6087775878180423,0.4668848683845447,0.10012743123152545,0.3946726202072701,0.04989234802184217,0.32498355379219124,0.5250675724704239,poor
0.16432030847524803,0.3463508648030663,0.4761043039970292,0.41603081732453184,0.5071712245218729,0.4714040480759132,0.06357651949212162,0.967389147687806,0.4229844759210316,0.6519147249595914,0.3327734699770062,0.0435528250107694,0.23149876437091488,0.6559812928640568,0.5225536960774829,0.7558319384022063,0.6358227425367325,0.2199906870600472,0.8640154340758837,0.21627759002062275,average
0.35065918147548447,0.03834175866370737,0.06119204847956705,0.3185809433044974,0.9618324111890172,0.7341813577993708,0.46521899523944554,0.05005293981599923,0.10690427970028216,0.5092752657258747,0.099574471390945,0.5611722017410573,0.7352264355739926,0.25221982272546506,0.7905789623115845,0.35239388979501296,0.6186413585185568,0.09637121601816967,0.7586624540313613,0.8673002728802705,average
0.0602666993330393,0.6739982150166645,0.8300021689882313,0.14801740277797626,0.441269039199779,0.18996306948953523,0.822519068888557,0.33292770511445435,0.8476323108411122,0.31227431375014314,0.8942012461824608,0.45853424166039347,0.33582468244725394,0.16113664381650794,0.22862939099329116,0.002572669656817017,0.02791740836248735,0.6974457016087696,0.9045815341503249,0.9941934280010595,average
0.39581664385582316,0.11643760406463155,0.425466932307321,0.895503075350917,0.21800929754839726,0.02756120773203563,0.8658464795644221,0.9366865048625735,0.10950335694547697,0.5176117013834357,0.726761970066655,0.12134361533918092,0.004417477261998259,0.40169784741864945,0.18130445177307275,0.9712571903931816,0.6129071350101858,0.301413832877263,0.40464881886250426,0.6853995587688271,poor
0.7815045245054062,0.762387889918462,0.5923269368124466,0.4210056227611437,0.4703969920210068,0.7649880765715669,0.8468311495355569,0.587399294614991,0.1238936090608882,0.27164961884123917,0.4606896581900737,0.03349205979829206,0.2565861017374258,0.8952195324752241,0.7624806100071717,0.39063190735060926,0.14681340618918426,0.5688058139809982,0.8266322660295811,0.11506222213901074,poor
