trial_id,participant_id,age,gender,height_cm,weight_kg,surface,shoes,false_start,total_time_sec,performance_band,timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
11,111,27,M,195,54,indoor,no,0,9.29,high,0,0.018869388821088833,1.029965365724445,0.01599618000011418,-0.014358896245183135,0.2599725586475014,0.009206090933080936
11,111,27,M,195,54,indoor,no,0,9.29,high,33,-0.16376741273187145,-0.9932473030275863,0.5499904159262495,0.15505501183553289,0.025937538740612717,0.02511164968392228
11,111,27,M,195,54,indoor,no,0,9.29,high,66,0.36832758611578204,1.0575098175073525,0.010776973965265071,-0.16461801077321844,-0.28347611341928225,-0.01667979050065998
11,111,27,M,195,54,indoor,no,0,9.29,high,99,-0.2953901344899189,-0.9686129100216175,-0.5033891087984707,0.12655330660751707,0.034367051485581605,0.0407780354364714
11,111,27,M,195,54,indoor,no,0,9.29,high,132,0.5779946258218067,0.6559035411924397,0.1383898427842829,0.04933978630077287,0.28126039278531473,-0.06749622720322077
11,111,27,M,195,54,indoor,no,0,9.29,high,165,-0.7611851280847655,-0.670241869468068,0.4490166645755042,-0.1685459826394046,-0.15603492657159085,0.06305762989867336
11,111,27,M,195,54,indoor,no,0,9.29,high,198,1.0217377987537333,0.5772958293190241,-0.2585829792191676,0.1982583609463254,-0.24630381875111285,-0.1006814774723319
11,111,27,M,195,54,indoor,no,0,9.29,high,231,-0.9124785466694831,-0.4624025968103037,-0.29277828922274063,-0.09971480317815028,0.2134389823018392,0.09280231257530826
11,111,27,M,195,54,indoor,no,0,9.29,high,264,0.990950414765907,0.1669516921630059,0.21195732119882227,-0.061274926989171835,0.23618449661963983,-0.09535939655013383
11,111,27,M,195,54,indoor,no,0,9.29,high,297,-1.0068212157792655,-0.12476105517771452,0.5125759649947723,0.20404661858549092,-0.19896846323413753,0.10501859080328825
11,111,27,M,195,54,indoor,no,0,9.29,high,330,0.8392061114930968,0.16623061843969672,-0.3239590949215553,-0.2090877819073431,-0.21900772233397894,-0.10592152761702
11,111,27,M,195,54,indoor,no,0,9.29,high,363,-1.016050762483424,0.037688072566842146,-0.326067855690444,0.024721191270530907,0.2228065629057237,0.09089560440091005
11,111,27,M,195,54,indoor,no,0,9.29,high,396,1.057130212864285,-0.3398400420390773,0.3649552766600884,0.07019817328619035,0.151118783908123,-0.07984504615738193
11,111,27,M,195,54,indoor,no,0,9.29,high,429,-0.9640197548658848,0.4768504138796692,0.25553711108618454,-0.1670828947858486,-0.21567399177774105,0.06439978239901263
11,111,27,M,195,54,indoor,no,0,9.29,high,462,0.9297817282673828,-0.6471142571774188,-0.4757809772101908,0.1411166900858545,-0.1278561600823375,-0.06724998950427753
11,111,27,M,195,54,indoor,no,0,9.29,high,495,-0.6165206111675439,0.7374885082795664,-0.11771442116718737,-0.011435259170962407,0.28019479822469573,0.06682907935895181
11,111,27,M,195,54,indoor,no,0,9.29,high,528,0.47004026767813495,-0.8660230759724664,0.5086940073617783,-0.0990260361700222,0.0828877652457378,-0.041239304370992484
11,111,27,M,195,54,indoor,no,0,9.29,high,561,-0.5542067602295547,0.9163850786279835,0.1947743328093277,0.20665047561574282,-0.33066964538300053,0.018051988221412314
11,111,27,M,195,54,indoor,no,0,9.29,high,594,0.16298228149022365,-0.9836586267438631,-0.5092638473025974,-0.12446763011871839,-0.01523491654243898,0.007138321531005649
11,111,27,M,195,54,indoor,no,0,9.29,high,627,-0.17233818296556652,0.9375374110755379,-0.02587227860428034,-0.03529573607559651,0.34203705037109255,-0.02597628113766239
11,111,27,M,195,54,indoor,no,0,9.29,high,660,-0.1355110390587297,-1.0073551160640872,0.49508576067502147,0.16625464286923347,-0.059827059335788746,0.020579890570814743
11,111,27,M,195,54,indoor,no,0,9.29,high,693,0.30589024721603797,1.0310694308803992,-0.064865004486468,-0.2165007166370181,-0.2774345931429753,-0.052216836994643585
11,111,27,M,195,54,indoor,no,0,9.29,high,726,-0.45501700482783364,-1.0973722099692331,-0.5441011407052091,0.06724041070708608,0.07712621548842889,0.0661346977982339
11,111,27,M,195,54,indoor,no,0,9.29,high,759,0.3918127418604395,0.946119745025237,0.16010088197153555,0.05575553636792269,0.32913384738910434,-0.08812629110255783
11,111,27,M,195,54,indoor,no,0,9.29,high,792,-0.4613770513994503,-0.862454386285611,0.4900577517949491,-0.17260477621990816,-0.061075014005553305,0.09519777713354484
11,111,27,M,195,54,indoor,no,0,9.29,high,825,0.7038405746200059,0.7450930144252698,-0.20134343794786247,0.17593653013740582,-0.19614634468403142,-0.0914698037583895
11,111,27,M,195,54,indoor,no,0,9.29,high,858,-0.7866748045121128,-0.6264912812847956,-0.41637189747823466,-0.087207020592808,0.15279815852562606,0.10732490725357777
11,111,27,M,195,54,indoor,no,0,9.29,high,891,0.953156856891373,0.4930976382351455,0.24824122585743308,-0.0933901819168077,0.2827218562910906,-0.08727679733823732
11,111,27,M,195,54,indoor,no,0,9.29,high,924,-1.1073281369821448,-0.2783502759802591,0.399736068863461,0.1778221186793575,-0.18044328667404133,0.09171921619551221
11,111,27,M,195,54,indoor,no,0,9.29,high,957,1.0732559518633191,0.025356654497281514,-0.2888813965221222,-0.15521588869049352,-0.24841387041701013,-0.09635728565338376
11,111,27,M,195,54,indoor,no,0,9.29,high,990,-0.9378787319687208,-0.004057108286338908,-0.29651012533410026,0.045718688477972495,0.23756264940950259,0.08838981487970775
